months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,customer_lifetime_value,income,monthly_premium_auto,total_claim_amount
20,26,0,1,3133.503432,58850,78.0,143.747794
29,37,0,1,3837.451863,21880,97.0,424.077159
13,43,0,2,11790.49617,25251,66.0,316.8
9,12,0,2,7838.068321,0,69.0,2.704934
14,82,0,1,4305.808345,24188,109.0,523.2
14,8,0,8,5973.976904,41611,74.0,113.801497
16,35,1,4,5670.442396,28406,72.0,192.87572
32,99,0,1,4731.749346,69833,118.0,828.662719
15,91,0,2,8026.379641,0,74.0,532.8
6,1,0,1,4022.963529,0,117.0,390.03496301912224
5,83,0,3,9618.310865,80536,119.0,53.798708
2,5,0,1,2274.775451,0,63.0,606.642452
0,70,0,2,9552.926922,97732,79.0,289.9122
20,55,0,2,10388.55323,61222,89.0,392.604371
7,20,0,1,2470.121222,0,74.0,721.242206
9,54,0,1,5619.068508,50335,140.0,456.52385
30,11,0,6,9047.119209,0,127.0,390.03496301912224
28,49,0,1,6692.143668,63221,168.0,806.4
31,34,0,1,3731.504584,0,96.0,460.8
34,30,0,1,3660.770258,64495,92.0,251.992083
7,75,0,2,7928.829252,0,72.0,345.6
24,51,3,4,5011.751577,28859,67.0,321.6
0,21,0,3,7988.258292,77330,99.0,99.257608
3,92,0,1,3885.456401,0,105.0,504.0
29,65,0,1,2659.337982,24495,70.0,336.0
29,29,0,9,8564.768226,95697,107.0,178.006524
11,7,0,1,4885.162511,26372,126.0,604.8
2,5,0,3,9753.307106,17514,127.0,8.312729
17,90,0,1,2946.153697,89270,74.0,316.599228
13,55,0,1,2581.110945,29757,65.0,312.0
28,89,0,1,3517.385764,51814,92.0,56.300724
14,27,0,2,9743.350113,24028,82.0,393.6
18,50,0,1,3873.647046,28142,105.0,701.708239
14,8,1,2,7649.28199,52705,64.0,128.705563
1,5,0,1,2287.59692,0,63.0,679.368378
7,63,0,1,4475.424592,84903,111.0,497.126827
14,64,0,4,8714.922135,0,118.0,566.4
7,63,1,1,2248.449633,24910,63.0,347.857619
15,12,2,2,7416.197322,0,77.0,554.4
12,28,0,2,7771.158973,21876,68.0,465.41477
33,61,1,2,6968.3419,0,69.0,496.8
17,1,1,7,4250.282624,0,61.0,292.8
1,57,0,2,6279.177891973308,70699,82.0,256.813837
11,85,1,2,6279.177891973308,0,74.0,355.2
20,0,0,1,2413.139714,27501,63.0,542.319401
30,99,0,2,15363.84716,15897,101.0,303.148399
12,4,1,2,8456.961887,25141,73.0,25.438063
5,46,3,1,2189.642522,0,61.0,292.8
23,0,0,8,5780.182197,51066,74.0,787.993313
24,37,0,1,4639.981638,28358,117.0,84.024413
1,48,0,1,4465.335703,61846,112.0,215.8182
3,47,0,8,5968.118877,90972,74.0,232.926145
3,95,0,7,5097.763337,0,74.0,532.8
17,51,0,1,4076.634665,29549,104.0,710.433775
12,17,1,2,12252.60179,0,115.0,552.0
4,29,2,4,6279.177891973308,39411,87.59156709558825,390.03496301912224
28,17,0,3,4892.435461,21709,62.0,408.374746
23,57,0,2,9942.304791,67890,85.0,408.0
3,16,0,1,3735.838129,0,110.0,792.0
11,98,4,2,13117.52215,84311,111.0,532.8
26,53,0,1,4574.524094,99316,114.0,754.358929
20,11,0,1,5470.060561,54507,138.0,702.990032
3,17,0,1,2978.84601,64586,76.0,206.837111
5,41,2,7,6410.967544,61709,82.0,275.395894
12,79,1,1,4479.023088,94656,111.0,459.738128
5,40,0,1,2383.731879,0,69.0,496.8
27,34,1,1,2764.493659,61085,70.0,336.0
7,31,3,2,7920.105377,89284,67.0,321.6
6,12,0,2,6889.097981,0,63.0,302.4
11,33,0,1,3274.194616,31686,81.0,430.994107
12,1,0,1,9951.707743,56855,87.59156709558825,390.03496301912224
3,45,2,1,2521.555686,53703,67.0,67.632476
12,35,1,2,6279.177891973308,0,96.0,844.481918
15,60,1,4,6047.02516,20396,76.0,364.8
30,28,0,3,11140.30248,27679,150.0,722.486994
1,67,3,1,4334.064096,23904,123.0,590.4
4,54,0,1,2799.74791,65351,69.0,481.027516
20,1,0,7,7923.136624,0,113.0,390.03496301912224
0,54,3,7,3688.110888,0,63.0,669.682001
14,35,0,2,12067.45599,0,116.0,390.03496301912224
16,64,0,1,2924.976721,64459,72.0,240.259479
13,53,0,3,15014.0927,32961,87.59156709558825,912.0
10,0,0,3,9277.233839,71416,116.0,556.8
15,6,0,3,6274.123875,68964,78.0,115.086827
12,34,0,1,3886.647414,78108,98.0,470.4
28,22,0,5,4386.277558,10621,67.0,321.6
4,69,0,2,11365.26766,84910,95.0,383.167471
2,35,0,3,5610.96434,77493,70.0,307.963291
7,67,0,1,2912.892035,81097,74.0,355.2
6,23,0,3,6915.729915,96610,85.0,520.364752
20,71,0,1,6262.663307,30110,159.0,466.436375
1,9,0,6,6503.397049,22081,84.0,451.670309
12,93,0,3,8007.399376,0,112.0,537.6
19,69,0,1,2929.916512,98473,72.0,345.6
1,72,0,3,5969.55297,97431,74.0,355.2
1,96,0,8,5473.15987,93870,69.0,331.2
9,5,0,9,5645.396665,50366,72.0,428.734656
30,72,0,7,6369.262355,34498,83.0,398.4
23,53,0,2,11833.76732,16552,103.0,494.4
7,50,0,5,6121.107929,26787,77.0,369.6
2,42,0,9,5159.369746,0,74.0,831.752839
15,58,0,1,2514.59196,43860,65.0,156.124914
13,72,2,9,8668.611261,21474,114.0,373.428187
8,16,0,9,4960.965384,18174,66.0,395.934815
18,45,0,5,5504.139033,0,73.0,350.4
10,61,0,2,7507.455372,60920,64.0,231.201886
18,70,0,2,6279.177891973308,41520,90.0,289.904105
12,89,0,1,5657.031588,0,152.0,729.6
19,16,0,8,5061.757902,0,68.0,326.4
3,84,0,8,5912.783829,72208,73.0,350.4
12,30,0,2,15182.27975,53863,63.0,105.765111
8,77,0,3,10747.03094,66446,136.0,639.464548
18,26,0,1,2050.623512,0,61.0,292.8
7,99,1,1,2465.444865,64997,63.0,383.442328
18,42,0,3,5343.121327,64460,66.0,316.8
22,77,0,2,8119.829071,46618,67.0,99.085943
13,64,0,4,4605.265164,0,64.0,307.2
6,37,5,5,6408.785577,49988,84.0,566.935022
2,8,5,1,2376.533508,0,91.0,436.8
6,84,0,1,3211.070017,16269,86.0,412.8
4,38,0,3,5094.522262,72006,64.0,307.2
3,60,2,2,6279.177891973308,0,81.0,388.8
34,83,0,1,8672.229719,0,87.59156709558825,390.03496301912224
13,79,0,2,8044.73072,44320,67.0,321.6
13,66,0,1,4001.519098,19782,108.0,773.470977
35,98,0,2,6279.177891973308,63933,70.0,424.883448
13,13,0,8,8544.411077,28224,109.0,523.2
25,54,1,3,7805.31287,21073,106.0,508.8
21,73,0,3,6112.756868,63243,77.0,364.240307
35,90,0,1,4772.943848,20993,133.0,638.4
5,64,0,4,10979.09559,94827,135.0,354.729129
18,83,1,4,5004.263818,39161,63.0,283.995953
2,0,2,2,13223.04379,37534,84.0,403.2
30,28,0,1,2623.31543,80210,65.0,20.543176
32,59,0,2,6279.177891973308,0,62.0,385.115437
2,4,0,5,5106.111827,30110,64.0,140.165035
28,77,0,2,6279.177891973308,21708,68.0,326.4
23,65,0,4,5457.342569,94731,67.0,321.6
17,83,0,6,6563.644143,32375,83.0,398.4
0,40,0,4,4812.525221,16531,63.0,102.879769
28,7,0,2,6279.177891973308,32006,94.0,56.868289
21,86,0,8,5773.520711,81676,72.0,463.158502
15,56,0,3,6847.1189,71038,86.0,205.444066
20,43,0,1,3595.31286,0,103.0,741.6
8,32,0,2,6279.177891973308,20832,65.0,56.371967
19,10,0,7,7859.414569,0,113.0,813.6
2,27,0,1,4115.577437,52405,103.0,494.4
3,89,0,1,5029.638777,0,133.0,795.864079
6,46,4,1,4821.418454,26583,128.0,614.4
15,53,0,3,5004.310469,25486,65.0,72.438681
30,1,0,5,8630.053943,24065,111.0,532.8
0,50,0,4,9322.08512,70435,116.0,67.881546
33,36,2,2,6279.177891973308,0,76.0,402.636829
2,85,0,1,3652.532435,39679,92.0,641.388616
13,45,0,5,6158.601171,0,89.0,342.481173
21,70,4,3,4376.083958,0,69.0,331.2
27,34,1,6,5569.456156,53565,71.0,340.8
19,14,1,1,2576.513006,37574,66.0,412.101933
14,79,0,3,8346.983233,48259,108.0,73.700573
25,87,0,3,6323.923864,78532,78.0,374.4
23,90,0,3,5973.14343,96163,73.0,350.4
0,86,0,7,4706.676993,0,72.0,345.6
9,72,1,5,8093.410258,0,114.0,722.024742
7,39,0,5,5035.744643,72672,63.0,259.361117
33,75,1,8,9027.867218,99002,112.0,537.6
19,30,0,3,7288.884849,79494,91.0,396.295614
21,35,0,8,6279.177891973308,35704,87.59156709558825,358.281562
6,5,0,3,4992.063043,0,71.0,653.388564
17,6,0,6,9102.267849,26049,118.0,121.032372
21,77,0,1,2540.407726,70125,64.0,92.813396
34,49,1,2,12941.89193,52369,110.0,528.0
25,51,2,1,2365.348601,0,66.0,159.636956
0,60,0,9,5720.765064,41770,72.0,476.156957
16,88,0,8,7035.534088,0,101.0,727.2
33,27,0,1,2636.97773,31911,67.0,321.6
15,69,0,8,5395.831967,70051,68.0,42.078345
17,41,1,9,8382.630118,19683,117.0,561.6
7,65,0,2,6279.177891973308,30916,112.0,200.11606
24,95,0,1,2887.742258,0,80.0,676.944023
14,64,0,4,8714.922135,0,118.0,566.4
0,45,0,2,6279.177891973308,0,116.0,830.623064
8,28,0,3,10272.6082,60145,132.0,580.473259
18,63,0,1,4376.363592,63774,111.0,60.036683
3,0,0,6,5318.89664,25134,67.0,321.6
5,48,1,6,4719.762191,37057,61.0,47.53101
6,62,0,1,4428.031583,58577,110.0,303.872752
3,19,0,6,5879.176092,85857,73.0,100.620067
8,47,0,3,9416.908485,70602,116.0,481.339891
10,97,2,3,8288.155579,33816,106.0,508.8
7,75,0,2,6279.177891973308,0,153.0,390.03496301912224
11,20,4,1,4719.450052,89642,121.0,86.320022
17,75,0,1,3903.474784,60068,98.0,470.4
16,14,0,1,5457.259678,50044,139.0,667.2
2,70,1,1,2725.356404,36650,69.0,56.60333
29,42,0,1,4433.97368,50653,110.0,262.865172
32,30,0,7,5332.462694,68931,66.0,309.577946
14,39,1,1,2315.094985,0,73.0,350.4
1,22,0,5,5411.953687,0,73.0,365.364581
33,31,0,2,9587.33234,39266,80.0,384.0
35,48,0,2,6279.177891973308,0,102.0,489.6
24,11,1,2,9764.945308,0,98.0,705.6
2,75,0,1,2567.151468,40864,65.0,9.51528
15,65,0,1,2650.622781,39035,68.0,244.564334
23,82,0,2,11264.36334,34923,98.0,639.105556
1,56,0,1,2168.523464,0,63.0,453.6
27,36,0,9,8610.667489,0,111.0,532.8
7,47,0,1,2834.646235,24506,71.0,511.2
25,63,0,2,8930.139728,0,82.0,554.522969
17,42,1,5,5536.386959,52220,70.0,336.0
17,73,0,1,2840.85429,0,74.0,402.449823
6,5,0,2,8082.880956,53554,67.0,327.020539
23,49,1,3,5254.734278,34476,67.0,5.3953
1,11,0,5,5116.237577,0,70.0,131.401291
35,14,0,1,3034.646997,68205,76.0,99.382943
6,48,1,8,8024.89992,0,119.0,856.8
20,97,0,2,6279.177891973308,53690,154.0,739.2
2,22,0,5,5121.563312,0,72.0,518.4
28,31,0,1,2150.178588,0,61.0,292.8
25,29,0,3,5595.389905,74454,71.0,340.8
23,91,0,2,7562.824036,0,73.0,350.4
1,69,0,3,5385.853211,29664,71.0,340.8
20,29,0,8,4718.558501,15680,64.0,260.879903
17,17,3,2,9422.567923,47272,79.0,64.546877
35,61,0,1,3605.860265,21585,92.0,441.6
18,77,2,3,7762.590564,23827,106.0,37.910623
34,32,2,2,6279.177891973308,69906,74.0,202.860399
7,77,0,1,2558.178159,0,72.0,345.6
17,20,0,3,5123.170887,89879,63.0,94.030308
9,89,0,1,2537.744494,0,69.0,331.2
27,28,0,1,2969.593296,46131,74.0,355.2
5,36,3,1,4363.124641,54514,109.0,286.234931
29,1,0,1,5884.308607,0,161.0,390.03496301912224
2,95,0,3,5272.191556,96668,66.0,316.8
9,67,1,4,5509.895664,78879,69.0,466.570791
21,86,0,2,16313.68349,0,69.0,331.2
8,44,0,3,5678.050167,0,76.0,364.8
28,30,0,2,12101.20884,0,112.0,390.03496301912224
3,92,0,1,2453.570794,29735,69.0,331.2
18,90,0,7,5075.66267,23082,65.0,312.0
15,62,0,1,3214.979402,53984,80.0,421.484456
6,86,0,9,12275.34309,52135,156.0,430.505942
29,70,0,1,2722.210707,17576,71.0,398.502948
19,73,0,1,2457.440923,29486,62.0,7.646763
4,83,0,1,3554.845264,58557,88.0,55.510526
27,52,0,7,4929.549699,25632,63.0,351.270869
7,42,0,9,8036.45034,0,112.0,806.4
19,53,3,3,4276.915328,18768,68.0,647.454583
18,95,0,2,6279.177891973308,33190,106.0,508.8
32,39,0,3,5960.581363,47945,74.0,128.43823
6,62,0,2,6279.177891973308,58778,126.0,302.033971
1,7,0,1,3832.118106,15192,100.0,480.0
0,21,0,1,6837.932624,51859,87.59156709558825,390.03496301912224
25,76,0,3,5285.26816,23422,72.0,518.4
14,28,0,1,3096.511217,21604,79.0,379.2
22,2,0,1,3589.710715,79298,90.0,244.362072
2,68,0,1,2582.408525,76731,64.0,201.455005
29,27,0,1,2487.729726,67282,62.0,297.6
29,79,1,2,13575.67599,48534,115.0,552.0
32,81,0,1,4685.504251,77678,116.0,741.418485
15,23,0,2,6279.177891973308,48412,104.0,707.430832
29,54,4,1,2764.032126,33837,72.0,305.575785
2,20,0,3,6183.111464,23712,85.0,376.126419
18,50,0,1,3873.647046,28142,105.0,701.708239
8,61,0,2,6279.177891973308,72196,68.0,152.184244
1,81,0,3,5553.295758,68197,69.0,176.819414
13,71,0,5,5011.259184,75248,63.0,104.454624
9,50,0,2,10442.44633,0,98.0,941.718054
5,19,1,1,2199.61781,0,65.0,468.0
4,47,0,3,8709.845263,41546,111.0,121.306839
13,98,0,6,7484.310483,46998,96.0,460.8
20,37,0,1,2613.023132,57099,67.0,67.859881
15,67,0,8,9080.639651,33897,114.0,539.843003
23,21,0,2,13770.97618,59207,116.0,556.8
8,78,0,1,2876.822941,40171,73.0,350.4
1,78,0,9,5548.031892,67798,69.0,331.2
0,25,0,1,5097.526248,21665,136.0,765.709629
9,75,0,2,6279.177891973308,0,87.0,626.4
12,67,5,7,3538.059456,0,67.0,321.6
29,22,0,2,6279.177891973308,34226,87.59156709558825,494.395024
4,43,1,2,6279.177891973308,65989,123.0,115.545086
22,45,0,3,4731.366975,30686,61.0,19.938981
15,6,0,2,6279.177891973308,0,113.0,799.926741
10,59,0,2,6279.177891973308,20090,109.0,523.2
6,16,0,2,6279.177891973308,0,87.59156709558825,878.4
25,29,0,5,13976.51925,77094,87.59156709558825,444.470676
21,80,0,6,5904.088162,97413,73.0,268.819985
6,97,0,4,5595.835041,79189,69.0,331.2
5,31,0,1,2294.303629,0,62.0,297.6
21,76,0,6,6273.911874,18577,86.0,412.8
7,34,1,1,3726.727996,0,112.0,806.4
13,43,1,9,5285.118669,40783,67.0,321.6
34,51,0,4,5110.680779,0,74.0,532.8
24,63,0,1,7126.596501,17483,87.59156709558825,390.03496301912224
9,38,0,1,4601.634099,84394,114.0,691.412378
3,93,0,3,9155.239699,0,127.0,804.811859
20,80,1,2,14808.05624,41440,62.0,297.6
14,69,1,8,8901.678357,0,136.0,390.03496301912224
10,61,0,3,5734.598243,98132,71.0,50.587035
4,49,0,1,4177.696973,0,112.0,537.6
28,63,0,2,6279.177891973308,88220,87.59156709558825,151.528482
31,5,0,3,10364.34749,58327,129.0,347.075948
27,1,0,2,7851.901368,25950,66.0,271.697529
35,90,0,1,4772.943848,20993,133.0,638.4
35,90,0,7,14226.50485,65726,87.59156709558825,849.6
35,59,3,3,4031.104947,0,63.0,639.45899
28,43,0,1,2794.907476,39783,72.0,345.6
6,74,0,1,4362.931238,58842,110.0,528.0
3,70,2,6,9624.524417,25629,124.0,595.2
12,15,0,1,5015.009472,48567,130.0,624.0
0,73,2,1,6948.422239,0,87.59156709558825,390.03496301912224
1,6,1,1,2896.918767,33746,74.0,355.2
22,75,0,2,6279.177891973308,22254,79.0,125.194389
3,43,0,3,9028.821403,65974,113.0,235.220971
18,63,0,3,5303.759534,0,76.0,395.34111
1,22,1,1,4165.354461,17161,113.0,542.4
1,62,0,7,5123.768112,0,74.0,772.798511
9,85,0,6,9492.342964,0,132.0,633.6
9,14,0,2,8204.863191,0,73.0,350.4
4,40,4,9,9877.295699,67752,131.0,168.517149
30,80,0,6,4815.009736,25398,64.0,307.2
30,19,0,4,6277.011679,0,88.0,633.6
6,2,0,3,8260.639809,33321,105.0,504.0
13,32,0,1,2549.450038,0,78.0,845.654042
19,69,0,1,4502.679656,68798,114.0,92.915251
4,6,0,1,3803.921781,20325,100.0,668.29397
15,93,0,6,8635.4035,13129,117.0,700.901632
24,57,0,4,5510.558964,0,73.0,525.6
14,68,0,1,3585.884123,49080,91.0,25.299
30,57,0,6,4889.25278,42536,63.0,375.330097
25,34,0,1,2756.941661,29926,74.0,418.233667
5,55,0,1,3289.547398,0,86.0,398.240791
15,35,0,4,10937.1785,21450,138.0,938.513425
32,52,0,2,7375.567916,33345,65.0,338.619869
27,37,0,2,10110.77818,15752,90.0,339.344531
1,47,1,3,5119.414293,40169,65.0,302.818833
10,15,1,9,8533.832013,26049,113.0,619.165344
3,4,0,1,2224.768,0,68.0,326.4
24,53,0,4,8042.803784,55411,100.0,259.561195
4,41,0,1,2554.437138,12459,70.0,336.0
24,32,1,2,6279.177891973308,64620,76.0,364.8
25,70,0,1,2430.506586,83140,61.0,179.161843
20,50,0,1,3167.658442,0,92.0,662.4
9,8,0,5,5465.603983,54422,68.0,75.501852
4,67,0,9,10357.51422,68309,131.0,306.983596
27,36,2,1,2537.813878,56621,65.0,84.026848
27,22,0,1,2821.947219,38977,70.0,139.489926
32,13,0,3,7757.128146,0,111.0,607.4459
12,43,0,1,4079.132667,0,114.0,631.124372
35,87,0,8,5955.544552,0,83.0,628.023494
16,33,0,2,14158.61364,83235,70.0,336.0
7,93,0,2,8487.238032,0,74.0,426.655599
20,36,0,8,6285.476868,32390,80.0,91.417923
14,64,0,2,11473.48149,66538,95.0,317.844812
12,24,0,1,2310.882998,0,64.0,460.8
25,3,0,2,6279.177891973308,76358,66.0,86.461582
15,58,0,1,2514.59196,43860,65.0,156.124914
0,13,0,9,5380.898636,55350,67.0,321.6
2,37,0,4,4770.550911,12964,65.0,362.774545
1,27,2,9,6756.651404,33288,86.0,221.856184
31,25,0,3,5936.011773,0,84.0,390.03496301912224
13,20,0,1,3570.760509,56168,88.0,614.675906
3,28,0,4,6019.960469,0,92.0,662.4
15,21,0,3,5426.863953,23105,69.0,331.2
6,83,0,1,2730.313804,36218,68.0,145.252168
6,88,0,5,4982.681374,52275,62.0,374.240783
5,51,0,2,8769.266756,49665,74.0,355.2
0,87,0,1,4220.613534,32471,110.0,528.0
12,89,1,2,11537.50507,0,86.0,619.2
19,57,0,9,5887.182043,62773,73.0,80.669257
34,23,0,1,4700.583771,76694,117.0,561.6
33,91,0,1,10963.95723,55687,87.59156709558825,390.03496301912224
20,81,0,1,2523.171245,0,70.0,504.0
20,61,1,1,3757.804716,36633,96.0,460.8
23,90,0,2,12941.73353,77060,106.0,468.566133
9,48,0,1,3764.465074,92600,94.0,842.43785
2,75,0,2,6889.557028,0,66.0,475.2
6,24,2,1,3623.454198,0,111.0,390.03496301912224
23,19,0,2,7582.113842,64801,64.0,268.471802
33,90,0,4,8277.74558,45257,103.0,494.4
31,70,0,1,2576.455597,26854,66.0,475.2
14,79,2,4,8205.387936,85840,102.0,138.722385
28,93,0,2,6279.177891973308,26463,72.0,345.6
23,51,0,5,6481.526576,30689,81.0,467.24802
17,18,0,1,2599.310879,29590,66.0,467.503236
15,59,0,1,9830.337629,25965,87.59156709558825,390.03496301912224
3,31,0,5,10442.65139,17269,139.0,667.2
0,86,3,2,6279.177891973308,90330,137.0,192.085299
34,5,0,8,8470.036773,0,113.0,619.973889
20,66,0,7,8278.786492,0,110.0,390.03496301912224
2,49,1,3,4788.932598,0,67.0,321.6
17,23,0,1,3087.999917,18558,80.0,384.0
33,93,0,1,4443.736209,46384,113.0,251.774574
1,77,0,2,7984.086473,0,72.0,866.208321
24,66,0,1,7180.971028,42303,87.59156709558825,390.03496301912224
12,50,0,2,15656.03434,71731,130.0,599.648466
23,0,0,8,5780.182197,51066,74.0,787.993313
20,66,0,2,6279.177891973308,0,87.59156709558825,390.03496301912224
19,93,3,5,5337.352409,0,86.0,619.2
16,45,0,6,5050.826183,0,69.0,72.852047
2,10,1,9,5116.624022,26173,68.0,449.819671
18,15,0,2,7268.736958,24445,63.0,302.4
6,27,0,1,2616.613903,72302,66.0,316.8
10,65,0,1,3738.436222,27208,102.0,489.6
2,70,1,1,2725.356404,36650,69.0,56.60333
7,15,0,7,5453.861203,30855,68.0,259.060862
13,20,0,5,6846.150323,0,95.0,456.0
19,83,0,4,6172.914199,99960,76.0,364.8
1,15,0,2,10346.32454,0,98.0,470.4
30,19,0,6,6997.008618,55873,88.0,299.356083
5,71,0,1,4196.257691,18052,111.0,699.1679
28,23,2,6,7858.109763,28937,104.0,117.959654
